Country code,Country name,2511
AFG,AFGHANISTAN,null
AGO,ANGOLA,null
ALB,ALBANIA,null
AND,ANDORRA,null
ARG,ARGENTINA,null
AUT,AUSTRIA,null
AZE,AZERBAIJAN,null
BDI,BURUNDI,null
BFA,BURKINA FASO,null
BIH,BOSNIA AND HERZEGOWINA,null
BLZ,BELIZE,null
BOL,BOLIVIA,null
BRA,BRAZIL,null
BRB,BARBADOS,null
BTN,BHUTAN,null
CAF,CENTRAL AFRICAN REPUBLIC,null
CHN,CHINA,null
COD,"CONGO, THE DRC",null
COG,CONGO,null
CPV,CAPE VERDE,null
CYP,CYPRUS,null
CZE,CZECH REPUBLIC,null
DNK,DENMARK,null
DOM,DOMINICAN REPUBLIC,null
DZA,ALGERIA,null
ECU,ECUADOR,null
EGY,EGYPT,null
ESP,SPAIN,null
ETH,ETHIOPIA,null
FIN,FINLAND,null
FJI,FIJI,null
FRA,FRANCE,null
GBR,UNITED KINGDOM,null
GHA,GHANA,null
GIN,GUINEA,null
GNQ,EQUATORIAL GUINEA,null
GRC,GREECE,null
GUY,GUYANA,null
HND,HONDURAS,null
HTI,HAITI,null
HUN,HUNGARY,null
ISL,ICELAND,null
ISR,ISRAEL,null
JAM,JAMAICA,null
JOR,JORDAN,null
KAZ,KAZAKHSTAN,null
KGZ,KYRGYZSTAN,null
KHM,CAMBODIA,null
KIR,KIRIBATI,null
KNA,SAINT KITTS AND NEVIS,null
KOR,"KOREA, REPUBLIC OF",null
KWT,KUWAIT,null
LBR,LIBERIA,null
LIE,LIECHTENSTEIN,null
LKA,SRI LANKA,null
LTU,LITHUANIA,null
LUX,LUXEMBURG,null
MAR,MOROCCO,null
MCO,MONACO,null
MDA,"MOLDOVA, REPUBLIC OF",null
MDV,MALDIVES,null
MEX,MEXICO,null
MHL,MARSHALL ISLANDS,null
MLI,MALI,null
MLT,MALTA,null
MNG,MONGOLIA,null
MOZ,MOZAMBIQUE,null
MUS,MAURITIUS,null
NER,NIGER,null
NLD,NETHERLANDS,null
NOR,NORWAY,null
NPL,NEPAL,null
PAK,PAKISTAN,null
PHL,PHILIPPINES,null
PLW,PALAU,null
PNG,PAPUA NEW GUINEA,null
POL,POLAND,null
PRK,"KOREA, D.P.R.O.",null
PRT,PORTUGAL,null
ROU,ROMANIA,null
RUS,RUSSIA,null
SGP,SINGAPORE,null
SLE,SIERRA LEONE,null
SMR,SAN MARINO,null
SOM,SOMALIA,null
SRB,SERBIA,null
SSD,SOUTH SUDAN,null
SUR,SURINAME,null
SVK,SLOVAKIA (SLOVAK REPUBLIC),null
SVN,SLOVENIA,null
SWE,SWEDEN,null
SYR,SYRIAN ARAB REPUBLIC,null
TCD,CHAD,null
TJK,TAJIKISTAN,null
TKM,TURKMENISTAN,null
TTO,TRINIDAD AND TOBAGO,null
TUN,TUNISIA,null
TUV,TUVALU,null
TZA,"TANZANIA, UNITED REPUBLIC OF",null
UGA,UGANDA,null
UKR,UKRAINE,null
URY,URUGUAY,null
USA,UNITED STATES,null
UZB,UZBEKISTAN,null
VAT,HOLY SEE (VATICAN CITY STATE),null
VEN,VENEZUELA,null
VNM,VIET NAM,null
